method,day_index,total_objective_cost,electricity_cost,qos_cost,switching_cost,total_energy_kwh,peak_power_kw,average_power_kw,average_active_servers,average_utilization,P1_sla_violation_rate,P2_sla_violation_rate,P3_sla_violation_rate,P1_violation_count,P2_violation_count,P3_violation_count,P1_sla_cost,P2_sla_cost,P3_sla_cost,P1_avg_delay,P2_avg_delay,P3_avg_delay,P1_completed,P2_completed,P3_completed,num_eval_days,start_day_index,end_day_index,random_seed
fixed,1064,418.07759825433504,412.4775982543351,0.0,5.6,749.6114914237605,40.08289499710641,31.23381214265669,63.614583333333336,0.2875262787890562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,362.0,443.0,256.0,267,1064,1330,2024
fixed,1065,417.3579440876441,411.7579440876441,0.0,5.6,747.9647487276017,39.284714354599025,31.165197863650068,63.614583333333336,0.2843305975303906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,390.0,489.0,225.0,267,1064,1330,2024
fixed,1066,418.9786930079536,413.37869300795364,0.0,5.6,751.6826391014888,41.862757963870614,31.320109962562032,63.614583333333336,0.2938782931306329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.008097165991903,402.0,446.0,247.0,267,1064,1330,2024
fixed,1067,416.66596070384793,411.06596070384796,0.0,5.6,749.5571073341794,41.37868116399769,31.23154613892414,63.614583333333336,0.28662072785513115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,385.0,423.0,254.0,267,1064,1330,2024
fixed,1068,411.6637895770998,406.0637895770998,0.0,5.6,741.8566310410073,42.29698621146025,30.91069296004197,63.614583333333336,0.27091580226118506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,421.0,405.0,225.0,267,1064,1330,2024
fixed,1069,412.3402454165614,406.7402454165614,0.0,5.6,736.2136325577255,38.99305600537225,30.675568023238565,63.614583333333336,0.26063879222350966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,378.0,407.0,221.0,267,1064,1330,2024
fixed,1070,414.7194725605864,409.1194725605864,0.0,5.6,747.0358388336028,40.58654657300625,31.126493284733453,63.614583333333336,0.28185682290516517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,379.0,412.0,247.0,267,1064,1330,2024
fixed,1071,414.30597223714994,408.70597223715,0.0,5.6,748.0255431358478,41.53207481019242,31.16773096399366,63.614583333333336,0.28240599527768434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,390.0,425.0,244.0,267,1064,1330,2024
fixed,1072,415.5232405351304,409.9232405351304,0.0,5.6,744.4399400052225,37.815874499043616,31.018330833550937,63.614583333333336,0.2773110053175492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,387.0,421.0,238.0,267,1064,1330,2024
fixed,1073,411.9839237879986,406.38392378799864,0.0,5.6,742.8679521862716,38.365944542858884,30.95283134109465,63.614583333333336,0.2754760986824805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,386.0,414.0,234.0,267,1064,1330,2024
